Timestamp (from 1970),Date,Time,Lat,Long,Speed (m/s),Heading,HR,Distance (m),Calories (SUM)

1728810711.6710725,13/10/24,12:11:51 PM,37.9369032409,23.6615051369,0.0,-1.0,0.0,6900.709786638796,0.0

1728810713.6710713,13/10/24,12:11:53 PM,37.936878286,23.6615122189,0.0,105.76,0.0,6897.870807273847,0.0

1728810716.0000732,13/10/24,12:11:56 PM,37.9368662577,23.6615386931,1.4137,106.06,86.0,6895.18774528626,0.0

1728810718.0000687,13/10/24,12:11:58 PM,37.9368597904,23.661568641,1.4137,103.94,86.0,6892.4589566787945,0.0

1728810720.0000677,13/10/24,12:12:00 PM,37.9368529206,23.6615930637,1.2901,102.93,97.0,6890.180604209978,0.0

1728810722.000067,13/10/24,12:12:02 PM,37.9368461817,23.6616268904,1.2901,101.53,97.0,6887.114315858291,0.0

1728810724.0000684,13/10/24,12:12:04 PM,37.936842753,23.66166124,1.2807,101.08,100.0,6884.070803085947,0.206

1728810726.0000625,13/10/24,12:12:06 PM,37.9368392877,23.661697809,1.3547,102.57,100.0,6880.8331452395405,0.412

1728810728.0000615,13/10/24,12:12:08 PM,37.9368315632,23.6617326931,1.498,107.65,100.0,6877.648931468714,0.618

1728810730.000063,13/10/24,12:12:10 PM,37.9368265163,23.6617659502,1.498,106.54,102.0,6874.67216242121,0.934

1728810732.000073,13/10/24,12:12:12 PM,37.9368194235,23.6617923353,1.2402,105.94,102.0,6872.222720783713,0.934

1728810734.000081,13/10/24,12:12:14 PM,37.9368088358,23.661813925,1.3241,112.71,96.0,6869.990421429101,1.25

1728810736.0000877,13/10/24,12:12:16 PM,37.9367998449,23.6618393436,1.6856,111.9,96.0,6867.543188335066,1.914

1728810738.0000937,13/10/24,12:12:18 PM,37.9367853453,23.661874283,1.4774,120.06,96.0,6864.075613151115,1.914

1728810739.0000973,13/10/24,12:12:19 PM,37.9367842309,23.6618895851,1.4002,109.09,96.0,6862.724751974788,1.914

1728810741.000101,13/10/24,12:12:21 PM,37.9367765114,23.661932555,1.8096,105.16,96.0,6858.851370409999,1.914

