Timestamp (from 1970),Date,Time,Lat,Long,Speed (m/s),Heading,HR,Distance (m),Calories (SUM)
1729932869.4056253,26/10/24,11:54:29 AM,37.9369725112,23.6607021848,0.0,-1.0,0.0,11158.553675310643,0.0
1729932870.4056263,26/10/24,11:54:30 AM,37.9370027018,23.6607309369,0.0,-1.0,131.0,11154.356315420151,0.0
1729932872.4056287,26/10/24,11:54:32 AM,37.9369949621,23.6607704058,2.1406,102.52,131.0,11150.781892467327,0.483
1729932875.0034728,26/10/24,11:54:35 AM,37.9369964164,23.660821991,1.787,112.88,131.0,11146.244240132766,0.483
1729932877.0032098,26/10/24,11:54:37 AM,37.9369835076,23.6608531196,1.787,107.58,146.0,11143.15535199443,1.528
1729932879.0029316,26/10/24,11:54:39 AM,37.9369738502,23.6608880863,1.926,107.2,146.0,11139.899939001567,1.528
1729932880.0027933,26/10/24,11:54:40 AM,37.9369691616,23.6609131111,2.247,106.84,146.0,11137.639327915507,2.09
1729932881.0026562,26/10/24,11:54:41 AM,37.9369616677,23.6609422718,2.253,107.42,146.0,11134.944281701428,2.09
1729932882.0025315,26/10/24,11:54:42 AM,37.9369573691,23.6609682465,2.247,106.92,147.0,11132.611567553853,2.652
1729932884.0022836,26/10/24,11:54:44 AM,37.9369485985,23.6610134855,1.9563,104.72,147.0,11128.517256047446,2.652
1729932885.0021615,26/10/24,11:54:45 AM,37.9369448829,23.6610358505,2.0593,101.1,147.0,11126.508391846786,3.219
1729932886.0020587,26/10/24,11:54:46 AM,37.9369422196,23.6610586542,2.0593,101.08,147.0,11124.482072510564,3.219
1729932887.0019526,26/10/24,11:54:47 AM,37.9369395156,23.6610815168,1.8326,99.68,147.0,11122.449968317796,3.786
1729932889.0017633,26/10/24,11:54:49 AM,37.9369329388,23.6611239842,1.8326,100.19,149.0,11118.646019188609,3.786
1729932890.001676,26/10/24,11:54:50 AM,37.9369280589,23.661146227,2.0601,100.44,149.0,11116.617052748488,4.363
1729932892.00152,26/10/24,11:54:52 AM,37.9369163225,23.6611927959,2.1889,100.58,149.0,11112.320981984105,4.363
1729932893.0014477,26/10/24,11:54:53 AM,37.9369110963,23.6612175772,2.1926,100.26,149.0,11110.066584557719,4.94
1729932894.001379,26/10/24,11:54:54 AM,37.9369078282,23.6612460655,2.2269,100.52,149.0,11107.536084977975,4.94
1729932895.0013156,26/10/24,11:54:55 AM,37.9369044038,23.6612748367,2.3341,100.07,149.0,11104.978449838378,5.517
1729932896.0012572,26/10/24,11:54:56 AM,37.9369009026,23.6613006543,2.4233,99.97,149.0,11102.675831348803,5.517
1729932897.001202,26/10/24,11:54:57 AM,37.9368968874,23.6613233853,2.408,100.4,143.0,11100.62848661336,6.094
1729932898.0011508,26/10/24,11:54:58 AM,37.9368907062,23.6613568455,2.4233,101.91,143.0,11097.608094705749,6.094
1729932899.0011024,26/10/24,11:54:59 AM,37.936886898,23.661387694,2.5183,101.46,143.0,11094.863503154833,6.094
1729932900.0010567,26/10/24,11:55:00 AM,37.9368841435,23.6614166649,2.8281,100.03,143.0,11092.298427417061,6.64
